album_name,track_name,album_type,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist
2069',Demain,single,79.0,0.726,0.675,1,-8.251,0.16,0.272,0.0,0.121,0.846,137.954,PLK
2069',Nouvelles,single,75.0,0.536,0.655,11,-7.636,0.22,0.011000000000000001,0.0004980000000000001,0.106,0.434,196.007,PLK
2069',Pelo,single,70.0,0.82,0.526,5,-10.328,0.256,0.7879999999999999,0.0,0.10099999999999999,0.738,115.029,PLK
21,Rolling in the Deep,album,47.0,0.73,0.769,8,-5.114,0.0298,0.138,0.0,0.0473,0.507,104.948,Adele
21,Set Fire to the Rain,album,44.0,0.603,0.67,2,-3.8819999999999997,0.0249,0.004079999999999999,1.68e-06,0.11199999999999999,0.446,107.993,Adele
23,Obsessed With You,album,77.0,0.746,0.825,3,-4.457,0.0435,0.192,0.0,0.365,0.904,143.062,Central Cee
24 karát,24 karát,single,53.0,0.813,0.682,1,-6.768,0.157,0.245,0.0,0.23399999999999999,0.537,151.072,Young Fly
24/7,24/7,single,82.0,0.588,0.7140000000000001,11,-6.2620000000000005,0.20199999999999999,0.0036200000000000004,0.0009720000000000001,0.327,0.278,169.954,ALIZADE
25,25,single,75.0,0.735,0.743,11,-8.21,0.153,0.318,0.0,0.131,0.414,120.031,Ati242
2:02,2:02,single,61.0,0.44299999999999995,0.611,7,-5.614,0.0314,0.012,0.0028399999999999996,0.665,0.233,104.53200000000001,Aliisa Syrjä
2Real4You,Right now,album,32.0,0.767,0.6990000000000001,10,-5.462999999999999,0.0531,0.228,0.0,0.215,0.772,127.022,Faroon
3:00 AM Sessions,Players,album,74.0,0.833,0.6779999999999999,9,-3.7110000000000003,0.141,0.46399999999999997,0.0,0.107,0.5760000000000001,109.969,Badshah
3MEN2 KBRN,Coco Chanel,album,92.0,0.6829999999999999,0.764,2,-5.995,0.0441,0.0427,0.0,0.0963,0.13699999999999998,149.94899999999998,Eladio Carrion
3MEN2 KBRN,Si La Calle Llama - Remix,album,86.0,0.469,0.639,10,-5.381,0.32,0.564,0.0,0.11,0.534,172.37,Eladio Carrion
