track.name,album_name,album_type,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist
505,Favourite Worst Nightmare (Standard Version),album,82.0,0.52,0.852,0,-5.866,0.0543,0.00237,5.79e-05,0.0733,0.234,140.267,Arctic Monkeys
555,Takket være livet,single,51.0,0.715,0.811,10,-7.754,0.342,0.221,0.669,0.266,0.505,112.996,Jonas Benyoub
5D,5D,album,56.0,0.78,0.359,6,-9.004,0.362,0.262,0.0,0.103,0.183,137.928,Hawk
6.5,6.5,single,72.0,0.729,0.508,8,-13.663,0.0716,0.0827,0.0,0.114,0.669,96.003,Jere Klein
60 De Zile II,Slayer,album,54.0,0.653,0.431,6,-11.289,0.0524,0.533,0.0,0.114,0.496,88.925,Ian
69,69,single,82.0,0.785,0.617,8,-4.202,0.234,0.109,0.0,0.11,0.58,92.844,Nicky Jam
7/7,7/7,single,61.0,0.64,0.662,4,-8.158,0.305,0.0292,1.43e-05,0.396,0.621,159.944,PLK
77,77,single,83.0,0.484,0.746,2,-5.191,0.0528,0.126,0.0,0.2,0.783,130.149,Peso Pluma
8 AM,ALMA,album,69.0,0.629,0.441,11,-7.572,0.295,0.296,1.65e-06,0.114,0.319,94.411,Nicki Nicole
9 bis 9,9 bis 9,single,29.0,0.767,0.539,4,-8.518,0.0629,0.364,0.0397,0.0772,0.368,128.055,SIRA
9ine,9ine,single,32.0,0.652,0.475,10,-7.26,0.11,0.272,0.000243,0.166,0.24,110.32,Qounfuzed
?mis sa tegid,kõik on süüdi,single,42.0,0.582,0.815,4,-6.318,0.0439,0.00407,1.91e-06,0.0862,0.17,120.071,5MIINUST
A Culpa É Nossa - Ao Vivo,"Identidade, Ep. 1 (Ao Vivo)",single,82.0,0.596,0.85,11,-4.528,0.0523,0.608,0.0,0.41,0.531,138.057,Maiara & Maraisa
A Nossa Dança,A Nossa Dança,single,65.0,0.663,0.688,0,-6.777,0.211,0.249,0.0,0.302,0.579,97.932,Calema
A Psalm of Life,IM HERO,album,55.0,0.279,0.515,7,-4.511,0.0305,0.75,0.000114,0.188,0.173,139.694,Lim Young Woong
A Sky Full of Stars,Ghost Stories,album,87.0,0.545,0.675,6,-6.474,0.0279,0.00617,0.00197,0.209,0.162,124.97,Coldplay
A Thousand Years,A Thousand Years,single,71.0,0.529,0.472,2,-6.323,0.0333,0.398,0.0,0.0853,0.269,138.935,James Arthur
A bientot,IM HERO,album,58.0,0.606,0.729,0,-4.555,0.0804,0.268,0.0,0.271,0.527,73.967,Lim Young Woong
ABISSALE,"RAVE, ECLISSI",album,72.0,0.338,0.55,9,-6.437,0.0443,0.166,0.0,0.0579,0.224,146.137,Tananai
ADIÓS,LA NENA DE ARGENTINA,album,81.0,0.747,0.765,9,-4.184,0.0547,0.374,4.66e-06,0.202,0.514,98.012,Maria Becerra
AFFETMEM,AFFETMEM,single,79.0,0.646,0.685,3,-11.027,0.0762,0.586,1.78e-06,0.105,0.539,142.115,BLOK3
AGAPI,AGAPI,single,65.0,0.644,0.64,2,-9.199,0.248,0.329,1.67e-05,0.0822,0.53,93.052,Sigma
AGAPI - Remix,AGAPI (Remix),single,74.0,0.68,0.676,2,-8.265,0.131,0.19,0.0,0.108,0.486,92.956,Sigma
AIZIET AIZIET,GANGBANG,album,8.0,0.466,0.787,11,-5.124,0.404,0.0388,0.0,0.139,0.813,180.843,BANDA BANDA
AK47,AK47,single,33.0,0.667,0.823,2,-5.342,0.253,0.172,0.0,0.108,0.249,95.609,Capital Bra
AKM,Fenomen,album,52.0,0.752,0.69,11,-4.892,0.197,0.189,0.0,0.34,0.492,127.983,Rytmus
AKSIES,BLESSED,album,32.0,0.561,0.547,9,-13.357,0.29,0.583,8.98e-06,0.185,0.368,140.092,RICTA
AL BORDE,511,single,80.0,0.933,0.274,10,-11.762,0.258,0.308,7.86e-06,0.112,0.671,133.086,Milo j
ALAX? - feat. Pihlaja,ALAX? (feat. Pihlaja),single,62.0,0.903,0.639,8,-4.581,0.161,0.502,0.00172,0.109,0.694,124.058,Jami Faltin
ALBERTO NAVARRO (feat. Danny Yash),ALBERTO NAVARRO (feat. Danny Yash),single,52.0,0.652,0.655,11,-8.554,0.224,0.203,0.0,0.299,0.667,89.281,Jorkan
ALBICOCCA - lolita,Effetto notte,album,64.0,0.753,0.705,10,-5.083,0.288,0.372,0.0,0.0917,0.667,85.218,Emis Killa
ALEINN,600,album,47.0,0.766,0.574,2,-6.716,0.0401,0.11,1.14e-05,0.216,0.488,116.024,Daniil
ALFABET (ABC),ALFABET (ABC),single,59.0,0.826,0.743,1,-6.817,0.066,0.0623,0.0,0.147,0.82,105.018,Skinz
ALL EYES ON ME,BLESSED,album,29.0,0.744,0.66,10,-8.729,0.246,0.313,7.33e-06,0.164,0.69,135.063,RICTA
ALLAR STELPURNAR,PBT,single,45.0,0.718,0.885,5,-8.563,0.163,0.00834,0.0,0.801,0.758,134.996,PATRi!K
AMARGURA,MAÑANA SERÁ BONITO,album,86.0,0.92,0.696,6,-3.356,0.0742,0.183,0.0,0.149,0.545,106.966,KAROL G
AMBER,DIAMANT DU BLED,album,68.0,0.709,0.762,6,-8.919,0.243,0.0877,0.00159,0.199,0.663,141.052,Zola
